title,source,link,published_dt,summary_clean
TSMC raises sales outlook on ‘very strong’ AI demand - Financial Times,Financial Times,https://news.google.com/rss/articles/CBMicEFVX3lxTE9iaVVfMGtsRGhrNVoyelRWemxVNEdCY05fZ3g3OFp3bDZaUnFIdjBaWTM0SkRTcnVFem5ybGxTa3J6SFA3OUpRYXY2Rzg3d1FXaDIzNGc2OEFKQjREMUpzU0NENUplamlQSmw5Uk9lU2Y?oc=5,2025-10-16 06:00:04,TSMC raises sales outlook on ‘very strong’ AI demand&nbsp;&nbsp;Financial Times
"TSMC: Bubble, what bubble? - Asian Tech Roundup - Computing UK",Computing UK,https://news.google.com/rss/articles/CBMikgFBVV95cUxNWjY4eTZab29xVXZxTm4xQjZSWVBwMFJvTUtJZXBnNzRNM2hUR2htYXVsSGVnZlRqUDN2Y3RUbU1uTkROM2V1c25rZ21pTWNaMVI4Z3J6aENac3l2VDZUN0owd1dCaUs2NnlaOGpxY0ZJN3pMTzA4OUJ0dDNIOTJ3OEhZY0h5TVdpRGdSb1p3NkNQZw?oc=5,2025-10-17 09:02:58,"TSMC: Bubble, what bubble? - Asian Tech Roundup&nbsp;&nbsp;Computing UK"
Record-breaking chip sidesteps Moore’s law by growing upwards - New Scientist,New Scientist,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNenJsU0NzckItdmVQVnhiUzRzUnVLcXE3U1VadGl0SVNwakxUazRRYUU2dzFvc1BVS0tFckV0MmNaRTU0OGZBQ1UwQzF6c01wUXRjbzE4VVZPdU05VXYzRlpZMEFLRnN2em52VFljVFA3QTdJU1hKSWh2elgwaFM1N3RxbW1GSURaZWkteGd4MlBHZ3hnSnc5d24tRG5FQW13bDY0WEdWWEV2dw?oc=5,2025-10-17 09:00:15,Record-breaking chip sidesteps Moore’s law by growing upwards&nbsp;&nbsp;New Scientist
Carmakers fear chip crunch as Dutch sanctions hit Nexperia - theregister.com,theregister.com,https://news.google.com/rss/articles/CBMid0FVX3lxTFBmdVhnMTgyM0pMZGJtazA0c0lzNzF2czEyaTdnWFdVR2N0Q0NUZ3A1WmdSbk1yUllUeEVfTjlfUnZObzVpdlNyZEdra1AxNGZDNFM1eDRDU0gzSkJOd0F2aWNUVmV0ZFRBeFhfRng3R192aEJYajNN?oc=5,2025-10-17 12:36:00,Carmakers fear chip crunch as Dutch sanctions hit Nexperia&nbsp;&nbsp;theregister.com
Nexperia: Dutch government takes control of China-owned chip firm - BBC,BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1BSFdqdDRRb1B1cG1nZnM3Zlc1Z0tGMl9ZU24zNWhFTGRxTno4ZUc4ZTJWSFUxRDNRN1lyd01yMkF3b3lTSnJWYWtOYjVVZmhhMXJoQ00tX2dNUdIBX0FVX3lxTE5iSXgyMnF5d2RCZnpYbUJTQTB4UkRsRGcwZUdNQ1M4UjF0cFp1XzJrRFRCcFlFdTBuRVBMSFZDbVpTcnVIbllQLUV0RzZrbjNIbzNUOVJCZngtTWNNeG1F?oc=5,2025-10-14 03:14:28,Nexperia: Dutch government takes control of China-owned chip firm&nbsp;&nbsp;BBC
ACEA calls for quick resolution to critical chip supply shortage - ACEA - European Automobile Manufacturers' Association,ACEA - European Automobile Manufacturers' Association,https://news.google.com/rss/articles/CBMiowFBVV95cUxOczRabmxTdGVia2hJb1FZVm91Mzg2akQ0UVlDRi1YT2xoek01SFJBZDhkSk5iYUxjYUZSTVpLTTlLRGU3b1Jzd1VEYmtfTUhDeWRJbVl2Zlc5aGpzUW1Wc0VtQXJ2cnVhRDRrX0RDLUcwQ1lubm44c0thcExSOVhoQVFoSi1GdmFzbkdudGdlUkVUbWlZV2ZvVTlHX2g2MVpyaGtr?oc=5,2025-10-16 12:23:14,ACEA calls for quick resolution to critical chip supply shortage&nbsp;&nbsp;ACEA - European Automobile Manufacturers' Association
This powerful Intel Core i7-14700K is just $260 from Amazon USA - Eurogamer,Eurogamer,https://news.google.com/rss/articles/CBMikgFBVV95cUxNSGJGUjVZQTBYZk5TMFgtYkNuZEhEbi04aWhMc3FPUU5JTXM4SDY5TWU5ZDJ5VUNzbTJvckIyVDVhSUltN0N5SnBUOGl3TWhMbjJhakM2cEZYQWh3bHQ0TnF2ODNCQ2x1WG0tWGtLQllnVlBHRENiM1hqcS1FaG1OVUVYSG1qem00ektoSVpqTzc3Zw?oc=5,2025-10-17 14:36:59,This powerful Intel Core i7-14700K is just $260 from Amazon USA&nbsp;&nbsp;Eurogamer
Nexperia crisis: Semiconductor supply shock threatens global auto production - Automotive Manufacturing Solutions,Automotive Manufacturing Solutions,https://news.google.com/rss/articles/CBMizAFBVV95cUxQdkxBWUNxcEV6aTVWeDYyc3pmZDBOa3ZGbW03X1l6M1ZTTGJFaElUdzJIenFUQ1pxbEdYeFNuVS1XblU2SURzbnBTVzQ4SXl2QWU3NEZSODlKZUhNZjB6UXh4bnBMUFNybnVVSDBWUWdZRHBJeGt4dkg1ZS1VdWZVdlhVaVFoZnNXWThkalVKWG5BWjdJNmJQamZRSWxvc3l5dVZ2ZUJFQWhkNFRtazBNcHEtYUNPVlFzcEwzVTFPWDhRWWpDOUt1WHMzWVc?oc=5,2025-10-17 12:09:48,Nexperia crisis: Semiconductor supply shock threatens global auto production&nbsp;&nbsp;Automotive Manufacturing Solutions
Fish and chip shop to reopen under original founder - Bristol24/7,Bristol24/7,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQeG1ROEZ0ZU5LOVE3SzBNeE9tLUk2a05SZU9URXVBQkxrRm1TQXFULUVMeF9sQTVrdXIyZFpObUVfTms2MVJ3RnU2RVpkMHphMkI0NVlIRi1UMkZOdHlNMjFVQlhMcldhbFFRMy1pRjdBd3RicXJtUWY5a3BRSV91Z3E5bjI4ZFZERENGOUJjc2d6RWlSbjZqaWRlYVh2Z3J6dkk1aVBZbFBUc2s?oc=5,2025-10-17 09:43:02,Fish and chip shop to reopen under original founder&nbsp;&nbsp;Bristol24/7
Automaker group warns Nexperia chip supply issue could quickly disrupt US production - Reuters,Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNT2FpcXJLZ0o0aTdCTHNlSXBNenVCZng3RnlNOTZ2bnVsaWNYbXN1WGN4ZXZleGk4VzVTbkZwc2xIS2l1dTdqbkNyTUFlRWNBRkc4c3VCQTNrYVNucEI3ZFdKOWgyQ2V2QmFWZzYtb3hTWUZtUmdDa3YwM0E4T2ZIUjlPMTd6SDdHdkk4T2lPdjdXSzBkT3BZTnZuWG5KZkZsaXZpR1Z6ZEdZUUwzMkhQVEs3YVB2LTJKLWR2cF9OLWV4U1ZVNlhiVUZ3QWJ4NV9yY3dWS0h3?oc=5,2025-10-17 00:19:00,Automaker group warns Nexperia chip supply issue could quickly disrupt US production&nbsp;&nbsp;Reuters
"Stocks to watch next week: Tesla, Netflix, Intel, Lloyds and Unilever - Yahoo",Yahoo,https://news.google.com/rss/articles/CBMiogFBVV95cUxQYTVzTkZhNjV0R3RKWnBBLS1BNVhNNDZkRE1feGxsZ2xqMWhKTTd3Q1h2YjFzR0xMY3R1clRxWkNXUklWREdCRHBjalROUEhqTDc5VUVvOGxVYkxldGVFclVXS0VnZVo5Nnp2X1NubDlyeEhnU2RxUUpmdnhZNFcxSDFTNm5pTWVBLUxQLS1TRjM3MnBEc0NYSTVRM1RBYmMwQ1E?oc=5,2025-10-17 14:16:34,"Stocks to watch next week: Tesla, Netflix, Intel, Lloyds and Unilever&nbsp;&nbsp;Yahoo"
Chip shop owner has one item he'll never order when he gets a takeaway - InYourArea,InYourArea,https://news.google.com/rss/articles/CBMipgFBVV95cUxPRUdaRnhVckxUdGg3VFdMaW5sbWdHXzdlZ3hMS1JyenE0emhKOFJpTXc0UDlKcldWcVIwakdUdWF1SXR2ZW5MaXJoa2NJSndQaUJwdVE2LTdzV0o2SFBZdGp4bElXZ1JxeDI5cDJpUGtfQTdQazlQaU5waHluREhodmFtNzVnem5RcHl2V3Zwd3FYaUhVVlo5YnpsNENQMVRDVlZmRTdn?oc=5,2025-10-17 11:32:12,Chip shop owner has one item he'll never order when he gets a takeaway&nbsp;&nbsp;InYourArea
TSMC Lifts Full-Year Outlook on Soaring AI Demand - Caixin Global,Caixin Global,https://news.google.com/rss/articles/CBMitgFBVV95cUxQa1RQZHhRejdiWkhlZ1hJZUZNNHhlWnUtRGZBbk5lMTRwNlpTYzFrcjhkWU5WWWpLWXBlSkNLNmhMNlNGX0g4a0U4TzJoOTNwUWxQRDZSZ2swUmhoS0NweGR6ZTVBWURpVWl2TUk0V0hnejREWWF3M3JXUzhKd3Y4VHBWclBXSUtBOVMxTTVCV2UwTW16bVNxc1VMR1RpX1FzSEV1ZXE1Q2JuQXJ4ZF95ak91NE5Udw?oc=5,2025-10-17 10:17:00,TSMC Lifts Full-Year Outlook on Soaring AI Demand&nbsp;&nbsp;Caixin Global
TSMC Reports Third Quarter EPS of NT$17.44 - Taiwan Semiconductor,Taiwan Semiconductor,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBtRnptUExYWjNlZ0YzUlBzY3dxTlZMcWhsb0dIMmNoT3pPRnJ3YnpLTUJadG9QU3V6ZFpLVXUxalNMX2tEd3hCaW80bVE4dw?oc=5,2025-10-16 12:00:00,TSMC Reports Third Quarter EPS of NT$17.44&nbsp;&nbsp;Taiwan Semiconductor
Taiwan Semiconductor Manufacturing Co. (TSMC) - Britannica,Britannica,https://news.google.com/rss/articles/CBMiekFVX3lxTE1qcmkzWDFJem9aNjFJODBRVml5UUxNcWk5eXQ1bU41bUFiUG9LMFVHYWpnVi00Q0ZHSUZnTlpSTUdSVTMxUXpQcFUyMHVmLVVCMG96NldrdkU0bExZMW1RWlpyVU80Y2R0N29KejlpNWIweUVVRUxGUUtR?oc=5,2025-10-16 03:12:00,Taiwan Semiconductor Manufacturing Co. (TSMC)&nbsp;&nbsp;Britannica
"Industrial Micro Filter Market Analysis 2025-2031: Emerging Opportunities Across Semiconductor, Automotive & Pharma Industries | Valuates Reports - PR Newswire UK",PR Newswire UK,https://news.google.com/rss/articles/CBMipgJBVV95cUxNYzA2MExMeGNBNmRXNHVOZE14LVpPVmJFeWhSTlY0am4yWnhnTUxKd2RqSU1ueHZPSGx6VnZVcGhvWERpUDJJa1oxa0tFNUEwbmp4amtfMHVETzFIejE2clRYTWdheER6S1pWTGRkSl9BRDhwaXhpZy1JckhIY0w4MzE1cDd0RldndmxPbnhUbHFlUUZob0FaQlNVZ2RDNXByTm5OR3dBWkRXanJVYTJSWG1NTkVHbklWdEJsT1E3R0ZiUW5YRUxNWTRDbGpKeE5JSlRubFR1QWdUTzRZLVlkRTlkWGN0eVNSYmNSVEwxbDhpaFhmNS02UnZLcXF3ejFPVkRNSE1aTTl1d3VnRG9RajRXLTkya2k2WXphSjZqOGpLVkYtMlE?oc=5,2025-10-17 15:12:00,"Industrial Micro Filter Market Analysis 2025-2031: Emerging Opportunities Across Semiconductor, Automotive & Pharma Industries | Valuates Reports&nbsp;&nbsp;PR Newswire UK"
Fife chip shop which served Justin Bieber is shortlisted for trio of awards - Fife Today,Fife Today,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPSW9FUmRmVDZRdkxDXzhYeWc2YkRvM3VhRktEbW9NdlNNRExsbDk2dlEwMUx1TENJaTJFUGUwVkNHZDBhanRVbDFKSEMtWkhGLTlBdENIdUExYUduMWpsSEYybTBZaVNRSVluU0JFTGFrOXNrZDlvLWJpbjZ2VWhrbUs0QmQ5VEoyWlE2WkU0OS1qZ1hYMlpwak9fbmFNdUJLdGpDTU16Q3gtWjRJTXV2MEtCYkx6TXR6YkFyRExZSGc?oc=5,2025-10-17 11:28:00,Fife chip shop which served Justin Bieber is shortlisted for trio of awards&nbsp;&nbsp;Fife Today
"Apple unleashes M5, the next big leap in AI performance for Apple silicon - Apple",Apple,https://news.google.com/rss/articles/CBMisgFBVV95cUxPLUc3ZW9MMWVBMFI4OGR6el9WZkpDdWNuNzR0WGtKSGVYdFUyYzRUMWhVYTNOLXdqRG9tMVNmVE91bzBNNGdOeFo2d216LW00NGhsMEozYVpINWI5c2lzcHdDNDhWU3ZCWDJNZ3lRT1FOTFg0ZjRQS0Q2YVJKekpwaUZoRlRWU1pMODNpTnJvdWExUE9oTlBtMzRyZ01ZUEVfcExaTE1YLV8yLS1WUkpUZ19B?oc=5,2025-10-15 13:02:46,"Apple unleashes M5, the next big leap in AI performance for Apple silicon&nbsp;&nbsp;Apple"
