title,source,link,published_dt,summary_clean,text_all,topics,iso3,sentiment,source_class,item_score
Carmakers fear chip crunch as Dutch sanctions hit Nexperia - theregister.com,theregister.com,https://news.google.com/rss/articles/CBMid0FVX3lxTFBmdVhnMTgyM0pMZGJtazA0c0lzNzF2czEyaTdnWFdVR2N0Q0NUZ3A1WmdSbk1yUllUeEVfTjlfUnZObzVpdlNyZEdra1AxNGZDNFM1eDRDU0gzSkJOd0F2aWNUVmV0ZFRBeFhfRng3R192aEJYajNN?oc=5,2025-10-17 12:36:00+00:00,Carmakers fear chip crunch as Dutch sanctions hit Nexperia&nbsp;&nbsp;theregister.com,Carmakers fear chip crunch as Dutch sanctions hit Nexperia - theregister.com. Carmakers fear chip crunch as Dutch sanctions hit Nexperia&nbsp;&nbsp;theregister.com,['policy'],NLD,negative,niche,49.67725507804054
Nexperia: Dutch government takes control of China-owned chip firm - BBC,BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1BSFdqdDRRb1B1cG1nZnM3Zlc1Z0tGMl9ZU24zNWhFTGRxTno4ZUc4ZTJWSFUxRDNRN1lyd01yMkF3b3lTSnJWYWtOYjVVZmhhMXJoQ00tX2dNUdIBX0FVX3lxTE5iSXgyMnF5d2RCZnpYbUJTQTB4UkRsRGcwZUdNQ1M4UjF0cFp1XzJrRFRCcFlFdTBuRVBMSFZDbVpTcnVIbllQLUV0RzZrbjNIbzNUOVJCZngtTWNNeG1F?oc=5,2025-10-14 03:14:28+00:00,Nexperia: Dutch government takes control of China-owned chip firm&nbsp;&nbsp;BBC,Nexperia: Dutch government takes control of China-owned chip firm - BBC. Nexperia: Dutch government takes control of China-owned chip firm&nbsp;&nbsp;BBC,[],NLD,neutral,major_press,0.0
This powerful Intel Core i7-14700K is just $260 from Amazon USA - Eurogamer,Eurogamer,https://news.google.com/rss/articles/CBMikgFBVV95cUxNSGJGUjVZQTBYZk5TMFgtYkNuZEhEbi04aWhMc3FPUU5JTXM4SDY5TWU5ZDJ5VUNzbTJvckIyVDVhSUltN0N5SnBUOGl3TWhMbjJhakM2cEZYQWh3bHQ0TnF2ODNCQ2x1WG0tWGtLQllnVlBHRENiM1hqcS1FaG1OVUVYSG1qem00ektoSVpqTzc3Zw?oc=5,2025-10-17 14:36:59+00:00,This powerful Intel Core i7-14700K is just $260 from Amazon USA&nbsp;&nbsp;Eurogamer,This powerful Intel Core i7-14700K is just $260 from Amazon USA - Eurogamer. This powerful Intel Core i7-14700K is just $260 from Amazon USA&nbsp;&nbsp;Eurogamer,[],IRL,positive,niche,0.0
"Stocks to watch next week: Tesla, Netflix, Intel, Lloyds and Unilever - Yahoo",Yahoo,https://news.google.com/rss/articles/CBMiogFBVV95cUxQYTVzTkZhNjV0R3RKWnBBLS1BNVhNNDZkRE1feGxsZ2xqMWhKTTd3Q1h2YjFzR0xMY3R1clRxWkNXUklWREdCRHBjalROUEhqTDc5VUVvOGxVYkxldGVFclVXS0VnZVo5Nnp2X1NubDlyeEhnU2RxUUpmdnhZNFcxSDFTNm5pTWVBLUxQLS1TRjM3MnBEc0NYSTVRM1RBYmMwQ1E?oc=5,2025-10-17 14:16:34+00:00,"Stocks to watch next week: Tesla, Netflix, Intel, Lloyds and Unilever&nbsp;&nbsp;Yahoo","Stocks to watch next week: Tesla, Netflix, Intel, Lloyds and Unilever - Yahoo. Stocks to watch next week: Tesla, Netflix, Intel, Lloyds and Unilever&nbsp;&nbsp;Yahoo",[],IRL,neutral,niche,0.0
Loch Lomond Group opens Scottish gin distillery - Global Drinks Intel,Global Drinks Intel,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPc19OWnZlNGh3bFdBQXZkTHVTNnRFMmRVc3ZyNjlFLTNEOTRNakswbElmSmVrXy03OHc0ZGloc1ozWjZJQzJYZVFEdkNEWWZMMUlDNlFodExRMGRSaTNZVW1DNGUtekpVSHFFSVZNZDRIYWx4QmYtSS00djJPd3d5ejd1VnlUMTdx?oc=5,2025-10-17 12:27:00+00:00,Loch Lomond Group opens Scottish gin distillery&nbsp;&nbsp;Global Drinks Intel,Loch Lomond Group opens Scottish gin distillery - Global Drinks Intel. Loch Lomond Group opens Scottish gin distillery&nbsp;&nbsp;Global Drinks Intel,[],IRL,neutral,niche,0.0
Intel Foundry Reportedly Secures 18A Order from Microsoft for Maia 2 Accelerator - TechPowerUp,TechPowerUp,https://news.google.com/rss/articles/CBMitgFBVV95cUxNV1RaUXBoUGlkRGZ4R01zczlyTWh0TDdacHpxZXJ0WjktTFFOV2t3aThtSi01Q0lsYTBGZEJTVmRFelhGQUhxOUZLY2RFSHpJNERoNFpvTmlOLThGSkFNSjUzN0lmSFQ2d21TSm5udFVBVXpnQkxPWmVONzRvYldtbk9sRURpLXhfQ3ZvTGNOVVJzLXNvRS1XVFQySFJyQ1Rzd2o1enVGNkxrMGFzOGh1NVA1Q1gwZ9IBuwFBVV95cUxQWFg1Vmdld1A0NjV5cU9ITWNUcDk4b1gwbjNNUU9JSE83WVhnU1lsLXloUGE5UTR6Nm0xbkh5MVA2R2hyQ3RwajM2ME5GY0hNUE1MZmVyRTNCaWxrZlYyWkVxUngweHBRbXJsbEdETlZEV1BvRDdTeFFES1h3TVB1R3F6Y0tFZm9wakNVRUtUbUJ5N19HcER4dVJHejZFZ2hUTDRSdmQzemFTYWhSTUdGY1lPNU5KWkZjaFBr?oc=5,2025-10-17 15:00:06+00:00,Intel Foundry Reportedly Secures 18A Order from Microsoft for Maia 2 Accelerator&nbsp;&nbsp;TechPowerUp,Intel Foundry Reportedly Secures 18A Order from Microsoft for Maia 2 Accelerator - TechPowerUp. Intel Foundry Reportedly Secures 18A Order from Microsoft for Maia 2 Accelerator&nbsp;&nbsp;TechPowerUp,['logistics'],IRL,positive,niche,41.27583760124255
RAF's Rivet Joint gathers intel along Russian border and lets Moscow know we're watching you - Forces News,Forces News,https://news.google.com/rss/articles/CBMixAFBVV95cUxNZEZ6cnlVSmRkQ2xTYnQtV0p2YzRXekdzRnMxb005aWRpT3E5QTFGYTBrbXRibUV0TkFhOUV6MjFKT0JCd183aHVoQUs4bGRHVVFIWFR2QmVZeWdYUUtFWG1WNDNLVndhOFNGV3RRUXpoUW5wTHl1dXktZ0dEdDhPd1g1WTdMbE1GcHNJQVlxVGVTUW9DTHlwM1NkRjYzOGdpT2tSRU9WY0drUmU2VkFuNi1mTjl6Z2J5a2hBRGdyc3lVdWI4?oc=5,2025-10-17 07:55:19+00:00,RAF's Rivet Joint gathers intel along Russian border and lets Moscow know we're watching you&nbsp;&nbsp;Forces News,RAF's Rivet Joint gathers intel along Russian border and lets Moscow know we're watching you - Forces News. RAF's Rivet Joint gathers intel along Russian border and lets Moscow know we're watching you&nbsp;&nbsp;Forces News,['logistics'],IRL,neutral,niche,42.37178171118855
Semiconductor 'brain' combines transformer's intelligence and Mamba's efficiency - Tech Xplore,Tech Xplore,https://news.google.com/rss/articles/CBMikgFBVV95cUxONkExN0xhMnMyUjlZSncyZlhIVElSaExXVnpjczFBelMzUVQ1Szk3c0RTaVFCUU1vdXFLSXdWUTNtQWk2aUxVMGszVzFPLXAxMEp5Nzd3QVdjdzE1blFPQmRSNXpMemJab0RTUWlFWmthSEhWd3JjN0tHQnI5SnZWdjYxcTJldUliejg2UVFYUjcxQQ?oc=5,2025-10-17 15:39:03+00:00,Semiconductor 'brain' combines transformer's intelligence and Mamba's efficiency&nbsp;&nbsp;Tech Xplore,Semiconductor 'brain' combines transformer's intelligence and Mamba's efficiency - Tech Xplore. Semiconductor 'brain' combines transformer's intelligence and Mamba's efficiency&nbsp;&nbsp;Tech Xplore,[],IRL,positive,niche,0.0
Intel’s Q3 Earnings Preview: Doubling Down on Dominance | INTC Stock price - Somos Hermanos -,Somos Hermanos -,https://news.google.com/rss/articles/CBMinAFBVV95cUxQaUFMcDlfYU03aXdMZThISzhLNzAteGJZRUZyTnhtZHdJYnk5enNOM0ViZ3ZsaVNvcnV1R2k1enZKYjlUeGFwbnVwUFhCRkZ1YWVMQi1DSmlQZURFQVhUbkstZURZN3NzUnV2alVJclFkc25GOVhjRjdscVltandjY0RHUmhsZUZReVA5cTM5WHowUGpSQVhFM0JyNlo?oc=5,2025-10-17 13:42:20+00:00,Intel’s Q3 Earnings Preview: Doubling Down on Dominance | INTC Stock price&nbsp;&nbsp;Somos Hermanos -,Intel’s Q3 Earnings Preview: Doubling Down on Dominance | INTC Stock price - Somos Hermanos -. Intel’s Q3 Earnings Preview: Doubling Down on Dominance | INTC Stock price&nbsp;&nbsp;Somos Hermanos -,[],IRL,positive,niche,0.0
Brazil Slot Intel Report: Week 41 / 2025 - Gaming Intelligence,Gaming Intelligence,https://news.google.com/rss/articles/CBMipAFBVV95cUxPbHlWWXI4U2Q5YXJoT2gtRF9aaDE2aFlpdjNqZkVMUmphWFI2dkJLMDI0cGVDOWtxWnhSVlFMY21tV0wwVTllV2phdWdhakgwek8tUURnOGtubjcyZk43NzZnV09naW9sYlJXa0tlMFBRSko1anFxTkFnV3EtaV84WkpBRUhBQUtjVTJyRnkyQS1TVkJnWEM1dUg3X1FHREVpaGRJQQ?oc=5,2025-10-17 10:58:24+00:00,Brazil Slot Intel Report: Week 41 / 2025&nbsp;&nbsp;Gaming Intelligence,Brazil Slot Intel Report: Week 41 / 2025 - Gaming Intelligence. Brazil Slot Intel Report: Week 41 / 2025&nbsp;&nbsp;Gaming Intelligence,['logistics'],IRL,positive,niche,38.19541172882939
